Date,MaxTemperature,MinTemperature,AverageTemperature,Humidity,Rainfall,WindSpeed
2025-06-10,43.1,30.1,37.4,22,0.0,14.4
2025-06-11,43.6,30.1,37.1,32,0.0,11.6
2025-06-12,43.1,31.1,36.8,45,0.5,11.7
2025-06-13,41.1,31.3,36.0,48,0.0,13.4
2025-06-14,42.9,30.6,36.2,47,0.3,13.5
2025-06-15,37.9,29.6,33.8,53,1.3,18.5
2025-06-16,32.0,24.8,29.4,81,25.6,13.8
2025-06-17,33.7,25.2,29.1,82,16.9,11.1
2025-06-18,33.2,24.0,28.9,79,5.3,7.8
2025-06-19,32.7,27.0,29.7,77,0.1,9.9
2025-06-20,31.7,25.5,28.7,84,1.2,13.8
2025-06-21,34.7,26.2,30.4,77,1.6,7.3
2025-06-22,34.0,28.0,31.0,74,0.8,8.1
2025-06-23,35.7,27.8,31.5,74,0.1,8.6
2025-06-24,36.1,27.3,31.2,75,1.1,7.6
2025-06-25,32.1,26.5,29.1,84,12.9,12.0
2025-06-26,34.5,26.0,30.6,76,11.5,11.6
2025-06-27,33.7,27.7,30.7,75,0.5,8.8
2025-06-28,35.8,25.6,30.8,74,8.3,8.5
2025-06-29,33.4,26.1,29.5,79,16.2,12.4
2025-06-30,31.7,25.4,27.8,87,17.3,10.1
